"Feat","Type","Name","Name2"
"FP","AtomPairs2DCount","APC2D1_C_C","APC2D1_C_C"
"FP","AtomPairs2DCount","APC2D1_C_N","APC2D1_C_N"
"FP","AtomPairs2DCount","APC2D1_C_O","APC2D1_C_O"
"FP","AtomPairs2DCount","APC2D1_C_S","APC2D1_C_S"
"FP","AtomPairs2DCount","APC2D1_C_P","APC2D1_C_P"
"FP","AtomPairs2DCount","APC2D1_C_F","APC2D1_C_F"
"FP","AtomPairs2DCount","APC2D1_C_Cl","APC2D1_C_Cl"
"FP","AtomPairs2DCount","APC2D1_C_Br","APC2D1_C_Br"
"FP","AtomPairs2DCount","APC2D1_C_I","APC2D1_C_I"
"FP","AtomPairs2DCount","APC2D1_C_B","APC2D1_C_B"
"FP","AtomPairs2DCount","APC2D1_C_Si","APC2D1_C_Si"
"FP","AtomPairs2DCount","APC2D1_C_X","APC2D1_C_X"
"FP","AtomPairs2DCount","APC2D1_N_N","APC2D1_N_N"
"FP","AtomPairs2DCount","APC2D1_N_O","APC2D1_N_O"
"FP","AtomPairs2DCount","APC2D1_N_S","APC2D1_N_S"
"FP","AtomPairs2DCount","APC2D1_N_P","APC2D1_N_P"
"FP","AtomPairs2DCount","APC2D1_N_F","APC2D1_N_F"
"FP","AtomPairs2DCount","APC2D1_N_Cl","APC2D1_N_Cl"
"FP","AtomPairs2DCount","APC2D1_N_Br","APC2D1_N_Br"
"FP","AtomPairs2DCount","APC2D1_N_I","APC2D1_N_I"
"FP","AtomPairs2DCount","APC2D1_N_B","APC2D1_N_B"
"FP","AtomPairs2DCount","APC2D1_N_Si","APC2D1_N_Si"
"FP","AtomPairs2DCount","APC2D1_N_X","APC2D1_N_X"
"FP","AtomPairs2DCount","APC2D1_O_O","APC2D1_O_O"
"FP","AtomPairs2DCount","APC2D1_O_S","APC2D1_O_S"
"FP","AtomPairs2DCount","APC2D1_O_P","APC2D1_O_P"
"FP","AtomPairs2DCount","APC2D1_O_F","APC2D1_O_F"
"FP","AtomPairs2DCount","APC2D1_O_Cl","APC2D1_O_Cl"
"FP","AtomPairs2DCount","APC2D1_O_Br","APC2D1_O_Br"
"FP","AtomPairs2DCount","APC2D1_O_I","APC2D1_O_I"
"FP","AtomPairs2DCount","APC2D1_O_B","APC2D1_O_B"
"FP","AtomPairs2DCount","APC2D1_O_Si","APC2D1_O_Si"
"FP","AtomPairs2DCount","APC2D1_O_X","APC2D1_O_X"
"FP","AtomPairs2DCount","APC2D1_S_S","APC2D1_S_S"
