"","set","model","feat_type","fold"
"1","set_0","WeightedEnsemble_L2","SubstructureCount",0
"2","set_0","WeightedEnsemble_L2","mordred",1
"3","set_0","WeightedEnsemble_L2","AtomPairs2D",2
"4","set_0","WeightedEnsemble_L2","mordred",3
"5","set_0","WeightedEnsemble_L2","padel",4
"6","set_1","WeightedEnsemble_L2","PubChem",0
"7","set_1","WeightedEnsemble_L2","padel",1
"8","set_1","WeightedEnsemble_L2","AtomPairs2DCount",2
"9","set_1","WeightedEnsemble_L2","padel",3
"10","set_1","WeightedEnsemble_L2","AtomPairs2DCount",4
"11","set_10","WeightedEnsemble_L2","padel",0
"12","set_10","WeightedEnsemble_L2","SubstructureCount",1
"13","set_10","WeightedEnsemble_L2","CDKgraphonly",2
"14","set_10","WeightedEnsemble_L2","KlekotaRoth",3
"15","set_10","WeightedEnsemble_L2","KlekotaRoth",4
"16","set_11","WeightedEnsemble_L2","padel",0
"17","set_11","WeightedEnsemble_L2","padel",1
"18","set_11","WeightedEnsemble_L2","padel",2
"19","set_11","WeightedEnsemble_L2","AtomPairs2DCount",3
"20","set_11","WeightedEnsemble_L2","AtomPairs2DCount",4
"21","set_12","WeightedEnsemble_L2","mordred",0
"22","set_12","WeightedEnsemble_L2","mordred",1
"23","set_12","WeightedEnsemble_L2","SubstructureCount",2
"24","set_12","WeightedEnsemble_L2","AtomPairs2DCount",3
"25","set_12","WeightedEnsemble_L2","SubstructureCount",4
"26","set_13","WeightedEnsemble_L2","CDKextended",0
"27","set_13","WeightedEnsemble_L2","KlekotaRothCount",1
"28","set_13","WeightedEnsemble_L2","AtomPairs2DCount",2
"29","set_13","WeightedEnsemble_L2","MACCS",3
"30","set_13","WeightedEnsemble_L2","padel",4
"31","set_14","WeightedEnsemble_L2","mordred",0
"32","set_14","WeightedEnsemble_L2","mordred",1
"33","set_14","WeightedEnsemble_L2","SubstructureCount",2
"34","set_14","WeightedEnsemble_L2","padel",3
"35","set_14","WeightedEnsemble_L2","SubstructureCount",4
"36","set_15","WeightedEnsemble_L2","mordred",0
"37","set_15","WeightedEnsemble_L2","mordred",1
"38","set_15","WeightedEnsemble_L2","padel",2
"39","set_15","WeightedEnsemble_L2","padel",3
"40","set_15","WeightedEnsemble_L2","AtomPairs2DCount",4
"41","set_16","WeightedEnsemble_L2","mordred",0
"42","set_16","WeightedEnsemble_L2","KlekotaRothCount",1
"43","set_16","WeightedEnsemble_L2","mordred",2
"44","set_16","WeightedEnsemble_L2","padel",3
"45","set_16","WeightedEnsemble_L2","padel",4
"46","set_17","WeightedEnsemble_L2","AtomPairs2DCount",0
"47","set_17","WeightedEnsemble_L2","KlekotaRothCount",1
"48","set_17","WeightedEnsemble_L2","mordred",2
"49","set_17","WeightedEnsemble_L2","padel",3
"50","set_17","WeightedEnsemble_L2","padel",4
"51","set_18","WeightedEnsemble_L2","mordred",0
"52","set_18","WeightedEnsemble_L2","AtomPairs2D",1
"53","set_18","WeightedEnsemble_L2","PubChem",2
"54","set_18","WeightedEnsemble_L2","CDKgraphonly",3
"55","set_18","WeightedEnsemble_L2","CDKgraphonly",4
"56","set_19","WeightedEnsemble_L2","mordred",0
"57","set_19","WeightedEnsemble_L2","padel",1
"58","set_19","WeightedEnsemble_L2","mordred",2
"59","set_19","WeightedEnsemble_L2","mordred",3
"60","set_19","WeightedEnsemble_L2","padel",4
"61","set_2","WeightedEnsemble_L2","mordred",0
"62","set_2","WeightedEnsemble_L2","AtomPairs2DCount",1
"63","set_2","WeightedEnsemble_L2","PubChem",2
"64","set_2","WeightedEnsemble_L2","SubstructureCount",3
"65","set_2","WeightedEnsemble_L2","PubChem",4
"66","set_20","WeightedEnsemble_L2","mordred",0
"67","set_20","WeightedEnsemble_L2","Substructure",1
"68","set_20","WeightedEnsemble_L2","AtomPairs2DCount",2
"69","set_20","WeightedEnsemble_L2","KlekotaRothCount",3
"70","set_20","WeightedEnsemble_L2","AtomPairs2DCount",4
"71","set_21","WeightedEnsemble_L2","padel",0
"72","set_21","WeightedEnsemble_L2","mordred",1
"73","set_21","WeightedEnsemble_L2","CDKextended",2
"74","set_21","WeightedEnsemble_L2","padel",3
"75","set_21","WeightedEnsemble_L2","AtomPairs2DCount",4
"76","set_22","WeightedEnsemble_L2","padel",0
"77","set_22","WeightedEnsemble_L2","padel",1
"78","set_22","WeightedEnsemble_L2","AtomPairs2D",2
"79","set_22","WeightedEnsemble_L2","padel",3
